iter	Passed	Remaining
810	11103	16278
811	11116	16263
812	11130	16250
813	11146	16240
814	11158	16225
815	11175	16216
816	11187	16199
817	11203	16188
818	11215	16173
819	11228	16157
820	11240	16141
821	11253	16126
822	11269	16116
823	11282	16101
824	11298	16092
825	11314	16080
826	11329	16069
827	11341	16053
828	11355	16039
829	11368	16026
830	11382	16012
831	11394	15995
832	11413	15990
833	11427	15976
834	11443	15965
835	11455	15949
836	11470	15937
837	11484	15924
838	11497	15910
839	11512	15897
840	11531	15891
841	11547	15880
842	11560	15867
843	11579	15859
844	11592	15845
845	11607	15833
846	11619	15817
847	11632	15802
848	11648	15791
849	11663	15780
850	11678	15768
851	11693	15755
852	11707	15742
853	11722	15730
854	11735	15716
855	11751	15705
856	11767	15694
857	11781	15681
858	11793	15665
859	11807	15651
860	11824	15642
861	11838	15629
862	11850	15613
863	11862	15597
864	11874	15581
865	11886	15565
866	11902	15554
867	11918	15543
868	11932	15529
869	11944	15514
870	11958	15500
871	11974	15489
872	11986	15473
873	12001	15461
874	12014	15447
875	12028	15433
876	12043	15422
877	12055	15406
878	12069	15392
879	12083	15378
880	12095	15362
881	12110	15350
882	12123	15336
883	12136	15321
884	12153	15311
885	12165	15296
886	12180	15283
887	12192	15268
888	12205	15253
889	12217	15237
890	12231	15223
891	12247	15212
892	12264	15203
893	12276	15187
894	12293	15177
895	12305	15162
896	12320	15149
897	12334	15136
898	12350	15125
899	12368	15116
900	12381	15101
901	12394	15087
902	12407	15072
903	12419	15057
904	12437	15048
905	12449	15032
906	12463	15019
907	12475	15003
908	12487	14988
909	12500	14972
910	12515	14961
911	12530	14948
912	12543	14933
913	12555	14918
914	12568	14903
915	12585	14893
916	12599	14880
917	12615	14869
918	12632	14859
919	12645	14844
920	12661	14833
921	12677	14822
922	12690	14808
923	12703	14793
924	12715	14777
925	12729	14764
926	12743	14751
927	12764	14744
928	12776	14729
929	12789	14714
930	12803	14701
931	12815	14685
932	12830	14673
933	12842	14657
934	12854	14641
935	12867	14627
936	12881	14613
937	12894	14598
938	12907	14583
939	12919	14568
940	12937	14559
941	12951	14546
942	12964	14531
943	12979	14519
944	12991	14504
945	13007	14492
946	13022	14479
947	13034	14464
948	13049	14452
949	13064	14440
950	13082	14431
951	13095	14416
952	13111	14405
953	13125	14391
954	13139	14378
955	13153	14364
956	13165	14348
957	13181	14337
958	13197	14325
959	13213	14314
960	13226	14300
961	13238	14284
962	13252	14271
963	13265	14256
964	13282	14245
